id,municipio,departamento
5001,Medellin,Antioquia
76275,Florida,Valle del Cauca
5002,Abejorral,Antioquia
5004,Abriaqui,Antioquia
5021,Alejandria,Antioquia
5030,Amaga,Antioquia
5031,Amalfi,Antioquia
5034,Andes,Antioquia
5036,Angelopolis,Antioquia
5038,Angostura,Antioquia
5040,Anori,Antioquia
5042,Santafe de Antioquia,Antioquia
5044,Anza,Antioquia
5045,Apartado,Antioquia
5055,Argelia - Antioquia,Antioquia
5079,Barbosa - Antioquia,Antioquia
5086,Belmira,Antioquia
5088,Bello,Antioquia
5107,Briceño - Antioquia,Antioquia
5113,Buritica,Antioquia
5120,Caceres,Antioquia
5125,Caicedo,Antioquia
5129,Caldas - Antioquia,Antioquia
5134,Campamento,Antioquia
5138,Cañasgordas,Antioquia
5142,Caracoli,Antioquia
5145,Caramanta,Antioquia
5147,Carepa,Antioquia
5154,Caucasia,Antioquia
5172,Chigorodo,Antioquia
5190,Cisneros,Antioquia
5197,Cocorna,Antioquia
5206,Concepcion - Antioquia,Antioquia
5212,Copacabana,Antioquia
5234,Dabeiba,Antioquia
5237,Don Matias,Antioquia
5240,Ebejico,Antioquia
5250,El Bagre,Antioquia
5282,Fredonia,Antioquia
5284,Frontino,Antioquia
5308,Girardota,Antioquia
5310,Gomez Plata,Antioquia
5315,Guadalupe - Antioquia,Antioquia
5318,Guarne,Antioquia
5347,Heliconia,Antioquia
5360,Itagui,Antioquia
5361,Ituango,Antioquia
5364,Jardin,Antioquia
5390,La Pintada,Antioquia
5400,La Union - Antioquia,Antioquia
5411,Liborina,Antioquia
5425,Maceo,Antioquia
5467,Montebello,Antioquia
5480,Mutata,Antioquia
5483,Nariño - Antioquia,Antioquia
5490,Necocli,Antioquia
5495,Nechi,Antioquia
5501,Olaya,Antioquia
5541,El Carmen de Viboral,Antioquia
5579,Puerto Berrio,Antioquia
5585,Puerto Nare,Antioquia
5591,Puerto Triunfo,Antioquia
5604,Remedios,Antioquia
5607,Retiro,Antioquia
5615,Rionegro - Antioquia,Antioquia
5628,Sabanalarga - Antioquia,Antioquia
5642,Salgar,Antioquia
5649,San Carlos - Antioquia,Antioquia
5652,San Francisco - Antioquia,Antioquia
5659,San Juan de Uraba,Antioquia
5660,San Luis - Antioquia,Antioquia
5664,San Pedro - Antioquia,Antioquia
5667,San Rafael,Antioquia
5670,San Roque,Antioquia
5674,San Vicente,Antioquia
5679,Santa Barbara - Antioquia,Antioquia
5686,Santa Rosa de Osos,Antioquia
5690,Santo Domingo,Antioquia
5736,Segovia,Antioquia
5756,Sonson,Antioquia
5761,Sopetran,Antioquia
5789,Tamesis,Antioquia
5790,Taraza,Antioquia
5792,Tarso,Antioquia
5809,Titiribi,Antioquia
5819,Toledo - Antioquia,Antioquia
5837,Turbo,Antioquia
5842,Uramita,Antioquia
5847,Urrao,Antioquia
5854,Valdivia,Antioquia
5856,Valparaiso - Antioquia,Antioquia
5858,Vegachi,Antioquia
5861,Venecia - Antioquia,Antioquia
5873,Vigia del Fuerte,Antioquia
5885,Yali,Antioquia
5887,Yarumal,Antioquia
5890,Yolombo,Antioquia
5893,Yondo,Antioquia
5895,Zaragoza,Antioquia
8001,Barranquilla,Atlantico
8078,Baranoa,Atlantico
8296,Galapa,Atlantico
8372,Juan de Acosta,Atlantico
8421,Luruaco,Atlantico
8433,Malambo,Atlantico
8436,Manati,Atlantico
8520,Palmar de Varela,Atlantico
8573,Puerto Colombia,Atlantico
8606,Repelon,Atlantico
8634,Sabanagrande,Atlantico
8638,Sabanalarga - Atlantico,Atlantico
8685,Santo Tomas,Atlantico
8832,Tubara,Atlantico
11001,"Bogota, D.C.","Bogota, D.C."
13001,Cartagena,Bolivar
13030,Altos del Rosario,Bolivar
13042,Arenal,Bolivar
13062,Arroyohondo,Bolivar
13074,Barranco de Loba,Bolivar
13160,Cantagallo,Bolivar
13212,Cordoba,Bolivar
13248,El Guamo,Bolivar
13300,Hatillo de Loba,Bolivar
13430,Magangue,Bolivar
13433,Mahates,Bolivar
13440,Margarita,Bolivar
13442,Maria La Baja,Bolivar
13458,Montecristo,Bolivar
13473,Morales - Bolivar,Bolivar
13490,Norosi,Bolivar
13600,Rio Viejo,Bolivar
13647,San Estanislao,Bolivar
13655,San Jacinto del Cauca,Bolivar
13657,San Juan Nepomuceno,Bolivar
13667,San Martin de Loba,Bolivar
13670,San Pablo - Bolivar,Bolivar
13673,Santa Catalina,Bolivar
13683,Santa Rosa - Bolivar,Bolivar
13688,Santa Rosa del Sur,Bolivar
13744,Simiti,Bolivar
13760,Soplaviento,Bolivar
13780,Talaigua Nuevo,Bolivar
13810,Tiquisio,Bolivar
13836,Turbaco,Bolivar
13838,Turbana,Bolivar
13894,Zambrano,Bolivar
15001,Tunja,Boyaca
15047,Aquitania,Boyaca
15051,Arcabuco,Boyaca
15087,Belen - Boyaca,Boyaca
15090,Berbeo,Boyaca
15092,Beteitiva,Boyaca
15097,Boavita,Boyaca
15104,Boyaca - Boyaca,Boyaca
15106,Briceño - Boyaca,Boyaca
15114,Busbanza,Boyaca
15131,Caldas - Boyaca,Boyaca
15176,Chiquinquira,Boyaca
15180,Chiscas,Boyaca
15183,Chita,Boyaca
15185,Chitaraque,Boyaca
15187,Chivata,Boyaca
15189,Cienega,Boyaca
15204,Combita,Boyaca
15215,Corrales,Boyaca
15218,Covarachia,Boyaca
15223,Cubara,Boyaca
15224,Cucaita,Boyaca
15226,Cuitiva,Boyaca
15232,Chiquiza,Boyaca
15236,Chivor,Boyaca
15238,Duitama,Boyaca
15248,El Espino,Boyaca
15272,Firavitoba,Boyaca
15276,Floresta,Boyaca
15293,Gachantiva,Boyaca
15296,Gameza,Boyaca
15299,Garagoa,Boyaca
15317,Guacamayas,Boyaca
15322,Guateque,Boyaca
15325,Guayata,Boyaca
15332,Güican,Boyaca
15362,Iza,Boyaca
15367,Jenesano,Boyaca
15368,Jerico - Boyaca,Boyaca
15401,La Victoria - Boyaca,Boyaca
15403,La Uvita,Boyaca
15407,Villa de Leyva,Boyaca
15425,Macanal,Boyaca
15442,Maripi,Boyaca
15455,Miraflores - Boyaca,Boyaca
15464,Mongua,Boyaca
15466,Mongui,Boyaca
15469,Moniquira,Boyaca
